IRM_NUMBER|ROW_NUMBER|STATUS|REASON
IRM100041|2|PASS|Inserted successfully with ID=91a04a9a-44ff-4862-a6d3-23bc0c618786
IRM100042|3|PASS|Inserted successfully with ID=286b29d7-644d-4580-b91b-b7907d497d8b
IRM100043|4|PASS|Inserted successfully with ID=60d78988-f00a-4c52-92f3-271179276885
IRM100044|5|PASS|Inserted successfully with ID=3257d061-0da0-4149-a8b3-9d44d0154083
IRM100045|6|PASS|Inserted successfully with ID=fc0e5473-0112-453d-b7b6-f6b815dfa7a4
IRM100046|7|PASS|Inserted successfully with ID=34d0553b-f3bf-4268-9ebb-28c5ea402350
IRM100047|8|PASS|Inserted successfully with ID=964da106-c6e7-458e-9f2e-2f955820333a
IRM100048|9|PASS|Inserted successfully with ID=7d217982-259e-4b71-b529-58013ad9a433
IRM100049|10|PASS|Inserted successfully with ID=8772b218-af32-40be-9eab-1946eddfcf63
IRM100050|11|PASS|Inserted successfully with ID=3cd8c293-8d00-47a5-bbbd-b7b18f1c9014
IRM100051|12|PASS|Inserted successfully with ID=ffde49d9-a954-4927-bb9c-dd0fd7b9fa25
IRM100052|13|PASS|Inserted successfully with ID=ab1ab21e-4198-4ff3-9d00-66d87d99456d
IRM100053|14|PASS|Inserted successfully with ID=219f8333-8f12-44e9-9844-21de3c75d13d
IRM100054|15|PASS|Inserted successfully with ID=9523af4a-e88c-4b0a-a37d-1dd619dfb986
IRM100055|16|PASS|Inserted successfully with ID=430e34f0-eeb9-48ce-ac69-47563340d09b
IRM100056|17|PASS|Inserted successfully with ID=a69e27fe-38c5-4e4f-9560-dcbcf44a5c1c
IRM100057|18|PASS|Inserted successfully with ID=b86dd2e0-a61f-4712-8942-fe747c4c26bf
IRM100058|19|PASS|Inserted successfully with ID=c68be580-0771-4672-8d86-7a8c6bf81cf8
IRM100059|20|PASS|Inserted successfully with ID=411450c9-c949-4175-82b1-b0f900a8f99d
IRM100060|21|PASS|Inserted successfully with ID=e5213889-8347-4189-8cc0-a41671c7d2d5
---
TOTAL=20 PASS=20 FAIL=0
