IRM_NUMBER|ROW_NUMBER|STATUS|REASON
IRM300031|2|FAIL|IRM Number already exists in DGFT_IRM_MASTER
IRM300032|3|FAIL|IRM Number already exists in DGFT_IRM_MASTER
IRM300033|4|FAIL|IRM Number already exists in DGFT_IRM_MASTER
IRM300034|5|FAIL|IRM Number already exists in DGFT_IRM_MASTER
IRM300035|6|FAIL|IRM Number already exists in DGFT_IRM_MASTER
IRM300036|7|FAIL|IRM Number already exists in DGFT_IRM_MASTER
IRM300037|8|FAIL|IRM Number already exists in DGFT_IRM_MASTER
IRM300038|9|FAIL|IRM Number already exists in DGFT_IRM_MASTER
IRM300039|10|FAIL|IRM Number already exists in DGFT_IRM_MASTER
IRM300040|11|FAIL|IRM Number already exists in DGFT_IRM_MASTER
IRM400031|12|FAIL|Bank Reference Number must be max 20 alphanumeric/hyphen characters
|13|FAIL|IRM Number must be alphanumeric; IRM Number is mandatory
IRM-400033|14|FAIL|IRM Number must be alphanumeric
IRM400034|15|FAIL|Remittance Amount must be numeric; Remittance Amount is mandatory
IRM400035|16|FAIL|Remittance Amount must be numeric
IRM400036|17|FAIL|Remittance Amount must be greater than 1
IRM400037|18|FAIL|Remittance Amount must be numeric
IRM400038|19|FAIL|Remittance Date is mandatory; Remittance Date must be dd/MM/yyyy
IRM400039|20|FAIL|Remittance Date must be dd/MM/yyyy
IRM400040|21|FAIL|Remittance Date cannot be in the future; Remittance Date cannot be after IRM Issue Date
---
TOTAL=20 PASS=0 FAIL=20
